347,230
349,231
354,241
355,244
363,251
364,255
368,261
370,269
370,269
372,279
372,284
365,285
365,286
359,292
352,295
350,293
345,291
341,289
332,289
332,288
320,284
309,278
309,278
303,275
303,274
302,272
297,267
289,257
289,252
292,254
292,250
292,248
292,247
293,245
301,241
312,238
308,238
319,233
319,237
324,236
331,234
338,231
355,226
358,226
364,226
366,225
375,225
376,225
377,226
384,226
383,230
378,230
379,231
375,232
375,232
368,235
359,240
358,238
346,238
341,242
331,244
331,239
322,244
314,246
312,246
308,246
304,245
297,247
296,247
293,252
290,261
289,260
290,262
292,262
297,267
297,269
304,274
309,275
313,277
321,279
323,287
331,289
330,285
331,292
353,292
353,289
354,289
359,291
366,287
366,287
370,283
372,269
373,269
371,261
370,258
367,253
364,251
358,242
347,233
346,233
340,230
339,226
329,221
328,221
322,218
315,217
310,214
301,212
305,212
305,211
305,211
308,210
311,211
311,211
314,215
316,222
320,225
320,225
329,229
337,234
338,236
347,244
344,244
354,252
357,256
365,265
367,269
367,269
367,271
365,272
365,277
365,277
358,277
353,276
353,276
338,277
341,277
333,276
331,276
317,273
309,271
312,271
302,266
299,265
293,262
290,260
288,259
284,251
281,249
281,249
284,249
284,243
286,237
289,236
297,236
301,236
311,236
312,236
320,236
324,234
335,233
343,233
346,232
353,232
355,232
361,231
361,231
362,231
367,231
375,230
370,229
375,227
368,225
368,223
364,222
353,217
351,221
340,219
336,218
333,218
330,217
320,215
311,215
306,215
293,213
292,214
290,214
290,214
287,217
286,219
286,221
286,224
286,225
287,228
287,229
289,231
305,237
308,238
310,239
314,241
323,247
332,251
341,258
350,260
351,262
356,267
356,268
365,268
370,270
372,269
374,259
377,257
374,253
375,239
371,233
368,233
363,230
354,223
353,223
344,220
337,217
327,208
322,206
313,204
306,200
311,197
305,195
302,194
297,191
295,191
291,187
289,184
294,184
294,184
294,185
302,189
306,190
